filed,ticker,issuer,insider,ciks,captured_at
2026-04-27,RS,"RELIANCE, INC.",Ajemyan Arthur  (CIK 0001777542),0000861884|0001777542,2026-04-27T22:54:57Z
2026-04-27,ISRG,INTUITIVE SURGICAL INC,Curet Myriam  (CIK 0001632901),0001035267|0001632901,2026-04-27T22:54:57Z
2026-04-27,CGEN,COMPUGEN LTD,Levine Zurit  (CIK 0001972527),0001119774|0001972527,2026-04-27T22:54:57Z
2026-04-27,URI,"UNITED RENTALS, INC.",PINTOFF CRAIG ADAM  (CIK 0001664921),0001067701|0001664921,2026-04-27T22:54:57Z
2026-04-27,SYM,Symbotic Inc.,Boyd William M III  (CIK 0001932973),0001837240|0001932973,2026-04-27T22:54:57Z
2026-04-27,,AGNC Investment Corp.,Federico Peter J  (CIK 0001464523),0001423689|0001464523,2026-04-27T22:54:57Z
2026-04-27,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Fendley Steven S.  (CIK 0001695434),0001069258|0001695434,2026-04-27T22:54:57Z
2026-04-27,VC,VISTEON CORP,Trecker Kristin  (CIK 0001353628),0001111335|0001353628,2026-04-27T22:54:57Z
2026-04-27,TAL,TAL Education Group,LIU YACHAO  (CIK 0001972349),0001499620|0001972349,2026-04-27T22:54:57Z
2026-04-27,MPLT,"MapLight Therapeutics, Inc.",GILLIS JONATHAN  (CIK 0001709954),0001770069|0001709954,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",Goldberg Chen  (CIK 0002058056),0001769628|0002058056,2026-04-27T22:54:57Z
2026-04-27,NXT,Nextpower Inc.,SHUGAR DANIEL S  (CIK 0001425477),0001852131|0001425477,2026-04-27T22:54:57Z
2026-04-27,LVS,LAS VEGAS SANDS CORP,Forman Charles D  (CIK 0001305349),0001300514|0001305349,2026-04-27T22:54:57Z
2026-04-27,KALU,KAISER ALUMINUM CORP,Wilcox Brett  (CIK 0001289226),0000811596|0001289226,2026-04-27T22:54:57Z
2026-04-27,AAON,"AAON, INC.",Thompson Rebecca  (CIK 0001565768),0000824142|0001565768,2026-04-27T22:54:57Z
2026-04-27,MRDN,Meridian Holdings Inc./NV,Luxor Capital LLC  (CIK 0001852146),0001437925|0001852146,2026-04-27T22:54:57Z
2026-04-27,TAL,TAL Education Group,TIAN MI  (CIK 0001968938),0001499620|0001968938,2026-04-27T22:54:57Z
2026-04-27,,WINTRUST FINANCIAL CORP,DYKSTRA DAVID A  (CIK 0001244276),0001015328|0001244276,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.","MPM BioVentures 2014 (B), L.P.  (CIK 0001609493)",0001785530|0001609493,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",Venturo Brian M  (CIK 0002058067),0001769628|0002058067,2026-04-27T22:54:57Z
2026-04-27,TAL,TAL Education Group,WANG Edward Yi  (CIK 0002117314),0001499620|0002117314,2026-04-27T22:54:57Z
2026-04-27,PUBM,"PubMatic, Inc.",Goel Rajeev K.  (CIK 0001833511),0001422930|0001833511,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.",MPM ASSET MANAGEMENT LLC  (CIK 0001263048),0001785530|0001263048,2026-04-27T22:54:57Z
2026-04-27,APLD,Applied Digital Corp.,MILLER DOUGLAS S  (CIK 0001193054),0001144879|0001193054,2026-04-27T22:54:57Z
2026-04-27,RVLV,"Revolve Group, Inc.","MMMK Development, Inc.  (CIK 0001756618)",0001746618|0001756618,2026-04-27T22:54:57Z
2026-04-27,NEAR,Grayscale Near Trust (NEAR),DCG International Investments Ltd.  (CIK 0001977454),0002025000|0001977454,2026-04-27T22:54:57Z
2026-04-27,KNTK,Kinetik Holdings Inc.,ISQ Global Fund II GP LLC  (CIK 0001904934),0001692787|0001904934,2026-04-27T22:54:57Z
2026-04-27,REAL,"TheRealReal, Inc.",Leondakis Niki  (CIK 0001780506),0001573221|0001780506,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.","MPM BioVentures 2014, L.P.  (CIK 0001609492)",0001785530|0001609492,2026-04-27T22:54:57Z
2026-04-27,XLM,Grayscale Stellar Lumens Trust (XLM),"Digital Currency Group, Inc.  (CIK 0001652536)",0001761325|0001652536,2026-04-27T22:54:57Z
2026-04-27,FIL,Grayscale Filecoin Trust (FIL),DCG International Investments Ltd.  (CIK 0001977454),0001852039|0001977454,2026-04-27T22:54:57Z
2026-04-27,WCN,"Waste Connections, Inc.",LITTLE JAMES  (CIK 0001130416),0001318220|0001130416,2026-04-27T22:54:57Z
2026-04-27,RSI,"Rush Street Interactive, Inc.",STETZ MATTIAS  (CIK 0001835040),0001793659|0001835040,2026-04-27T22:54:57Z
2026-04-27,KALU,KAISER ALUMINUM CORP,Gheorghe Iulian  (CIK 0002104071),0000811596|0002104071,2026-04-27T22:54:57Z
2026-04-27,UVSP,UNIVEST FINANCIAL Corp,Paquin Natalye  (CIK 0001377274),0000102212|0001377274,2026-04-27T22:54:57Z
2026-04-27,GLNK,Grayscale Chainlink Trust ETF,DCG International Investments Ltd.  (CIK 0001977454),0001852025|0001977454,2026-04-27T22:54:57Z
2026-04-27,NXT,Nextpower Inc.,LEDESMA BRUCE  (CIK 0001209945),0001852131|0001209945,2026-04-27T22:54:57Z
2026-04-27,TXN,TEXAS INSTRUMENTS INC,Kane Katharine  (CIK 0002032065),0000097476|0002032065,2026-04-27T22:54:57Z
2026-04-27,,SCHWAB CHARLES CORP,Schwab Charles R.  (CIK 0000923738),0000316709|0000923738,2026-04-27T22:54:57Z
2026-04-27,MLI,MUELLER INDUSTRIES INC,Christopher Gregory L.  (CIK 0001341985),0000089439|0001341985,2026-04-27T22:54:57Z
2026-04-27,PNRG,PRIMEENERGY RESOURCES CORP,DE ROTHSCHILD ROBERT  (CIK 0001015878),0000056868|0001015878,2026-04-27T22:54:57Z
2026-04-27,RNG,"RingCentral, Inc.",Makagon Kira  (CIK 0001586648),0001384905|0001586648,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",McBee Brannin  (CIK 0002058103),0001769628|0002058103,2026-04-27T22:54:57Z
2026-04-27,BCAX,Bicara Therapeutics Inc.,Raben David  (CIK 0002034679),0002023658|0002034679,2026-04-27T22:54:57Z
2026-04-27,EQT,EQT Corp,BAILEY VICKY A  (CIK 0001295122),0000033213|0001295122,2026-04-27T22:54:57Z
2026-04-27,UBER,"Uber Technologies, Inc",Mahendra-Rajah Prashanth  (CIK 0001609983),0001543151|0001609983,2026-04-27T22:54:57Z
2026-04-27,ZEN,Grayscale Horizen Trust (ZEN),"Digital Currency Group, Inc.  (CIK 0001652536)",0001748945|0001652536,2026-04-27T22:54:57Z
2026-04-27,CHCO,CITY HOLDING CO,BUMGARNER DAVID L  (CIK 0001314692),0000726854|0001314692,2026-04-27T22:54:57Z
2026-04-27,LRCX,LAM RESEARCH CORP,Harter Ava  (CIK 0001642415),0000707549|0001642415,2026-04-27T22:54:57Z
2026-04-27,TAL,TAL Education Group,PENG ALEX ZHUANGZHUANG  (CIK 0001971327),0001499620|0001971327,2026-04-27T22:54:57Z
2026-04-27,INDI,"indie Semiconductor, Inc.",Aoki Ichiro  (CIK 0001865423),0001841925|0001865423,2026-04-27T22:54:57Z
2026-04-27,NDAQ,"NASDAQ, INC.",Tal Cohen  (CIK 0001781714),0001120193|0001781714,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",McBee Brannin  (CIK 0002058103),0001769628|0002058103,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.",UBS Oncology Impact Fund L.P.  (CIK 0001691428),0001785530|0001691428,2026-04-27T22:54:57Z
2026-04-27,KN,Knowles Corp,Bastarrica Air A. Jr.  (CIK 0001745084),0001587523|0001745084,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",McBee Brannin  (CIK 0002058103),0001769628|0002058103,2026-04-27T22:54:57Z
2026-04-27,STX,Grayscale Stacks Trust (STX),DCG International Investments Ltd.  (CIK 0001977454),0002024996|0001977454,2026-04-27T22:54:57Z
2026-04-27,RELY,"Remitly Global, Inc.",Somalya Saema  (CIK 0001600405),0001782170|0001600405,2026-04-27T22:54:57Z
2026-04-27,LPT,Grayscale Livepeer Trust (LPT),DCG International Investments Ltd.  (CIK 0001977454),0001852024|0001977454,2026-04-27T22:54:57Z
2026-04-27,GDLC,Grayscale CoinDesk Crypto 5 ETF,DCG International Investments Ltd.  (CIK 0001977454),0001729997|0001977454,2026-04-27T22:54:57Z
2026-04-27,CGEN,COMPUGEN LTD,Ophir Eran  (CIK 0001972103),0001119774|0001972103,2026-04-27T22:54:57Z
2026-04-27,AGX,ARGAN INC,Jeffrey John Ronald Jr.  (CIK 0001709914),0000100591|0001709914,2026-04-27T22:54:57Z
2026-04-27,WCN,"Waste Connections, Inc.",HANSEN ERIC  (CIK 0001132334),0001318220|0001132334,2026-04-27T22:54:57Z
2026-04-27,BLK,"BlackRock, Inc.",KAPITO ROBERT  (CIK 0001059246),0002012383|0001059246,2026-04-27T22:54:57Z
2026-04-27,DEFG,Grayscale Decentralized Finance (DeFi) Fund LLC,DCG International Investments Ltd.  (CIK 0001977454),0001874907|0001977454,2026-04-27T22:54:57Z
2026-04-27,,VALLEY NATIONAL BANCORP,BARRETT RUSSELL  (CIK 0002006886),0000714310|0002006886,2026-04-27T22:54:57Z
2026-04-27,ETN,Eaton Corp plc,LEONETTI OLIVIER  (CIK 0001618669),0001551182|0001618669,2026-04-27T22:54:57Z
2026-04-27,CHCO,CITY HOLDING CO,HAGEBOECK CHARLES R  (CIK 0001234855),0000726854|0001234855,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",McBee Brannin  (CIK 0002058103),0001769628|0002058103,2026-04-27T22:54:57Z
2026-04-27,BDX,BECTON DICKINSON & CO,Feld Michael  (CIK 0002034349),0000010795|0002034349,2026-04-27T22:54:57Z
2026-04-27,GAVA,Grayscale Avalanche Staking ETF,DCG International Investments Ltd.  (CIK 0001977454),0002035053|0001977454,2026-04-27T22:54:57Z
2026-04-27,NXT,Nextpower Inc.,Bennett David P  (CIK 0001582417),0001852131|0001582417,2026-04-27T22:54:57Z
2026-04-27,DDOG,"Datadog, Inc.",Agarwal Amit  (CIK 0001540517),0001561550|0001540517,2026-04-27T22:54:57Z
2026-04-27,DYN,"Dyne Therapeutics, Inc.","Atlas Venture Opportunity Fund II, L.P.  (CIK 0001885327)",0001818794|0001885327,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.",MPM ONCOLOGY INNOVATIONS FUND LP  (CIK 0001719960),0001785530|0001719960,2026-04-27T22:54:57Z
2026-04-27,CALX,"CALIX, INC",Russo Carl  (CIK 0001483757),0001406666|0001483757,2026-04-27T22:54:57Z
2026-04-27,GSUI,Grayscale Sui Staking ETF,DCG International Investments Ltd.  (CIK 0001977454),0002034012|0001977454,2026-04-27T22:54:57Z
2026-04-27,KALU,KAISER ALUMINUM CORP,Harvey Keith  (CIK 0001551869),0000811596|0001551869,2026-04-27T22:54:57Z
2026-04-27,KALU,KAISER ALUMINUM CORP,DONNAN JOHN MALCOLM  (CIK 0001311544),0000811596|0001311544,2026-04-27T22:54:57Z
2026-04-27,TWST,Twist Bioscience Corp,Starovasnik Melissa A.  (CIK 0001877739),0001581280|0001877739,2026-04-27T22:54:57Z
2026-04-27,DYN,"Dyne Therapeutics, Inc.","Atlas Venture Opportunity Fund I, L.P.  (CIK 0001759241)",0001818794|0001759241,2026-04-27T22:54:57Z
2026-04-27,DYN,"Dyne Therapeutics, Inc.","Atlas Venture Associates XI, L.P.  (CIK 0001780068)",0001818794|0001780068,2026-04-27T22:54:57Z
2026-04-27,SM,SM Energy Co,Vogel Herbert S  (CIK 0001544288),0000893538|0001544288,2026-04-27T22:54:57Z
2026-04-27,URI,"UNITED RENTALS, INC.",Gross Joli L.  (CIK 0001875551),0001067701|0001875551,2026-04-27T22:54:57Z
2026-04-27,STZ,"CONSTELLATION BRANDS, INC.",Hernandez Ernesto M  (CIK 0001614357),0000016918|0001614357,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",McBee Brannin  (CIK 0002058103),0001769628|0002058103,2026-04-27T22:54:57Z
2026-04-27,ABT,ABBOTT LABORATORIES,Alpern Robert J  (CIK 0001448074),0000001800|0001448074,2026-04-27T22:54:57Z
2026-04-27,IMAX,IMAX CORP,GELFOND RICHARD L  (CIK 0000944011),0000921582|0000944011,2026-04-27T22:54:57Z
2026-04-27,DYN,"Dyne Therapeutics, Inc.","Atlas Venture Fund XI, L.P.  (CIK 0001708269)",0001818794|0001708269,2026-04-27T22:54:57Z
2026-04-27,TMO,THERMO FISHER SCIENTIFIC INC.,Pettiti Gianluca  (CIK 0001844600),0000097745|0001844600,2026-04-27T22:54:57Z
2026-04-27,KLTR,KALTURA INC,Azaria Eynav  (CIK 0002009676),0001432133|0002009676,2026-04-27T22:54:57Z
2026-04-27,GDOG,Grayscale Dogecoin Trust ETF,DCG International Investments Ltd.  (CIK 0001977454),0002055510|0001977454,2026-04-27T22:54:57Z
2026-04-27,CBRE,"CBRE GROUP, INC.",SULENTIC ROBERT E  (CIK 0001190868),0001138118|0001190868,2026-04-27T22:54:57Z
2026-04-27,NXT,Nextpower Inc.,Miller Nicholas Marco  (CIK 0001962163),0001852131|0001962163,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.",MPM Asset Management Investors BV2014 LLC  (CIK 0001609495),0001785530|0001609495,2026-04-27T22:54:57Z
2026-04-27,QCOM,QUALCOMM INC/DE,Smit Neil  (CIK 0001312168),0000804328|0001312168,2026-04-27T22:54:57Z
2026-04-27,NXT,Nextpower Inc.,Wenger Howard  (CIK 0001387222),0001852131|0001387222,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",Venturo Brian M  (CIK 0002058067),0001769628|0002058067,2026-04-27T22:54:57Z
2026-04-27,MPLT,"MapLight Therapeutics, Inc.",Kreitzer Anatol  (CIK 0002021238),0001770069|0002021238,2026-04-27T22:54:57Z
2026-04-27,WKC,WORLD KINECT CORP,KASBAR MICHAEL J  (CIK 0001242793),0000789460|0001242793,2026-04-27T22:54:57Z
2026-04-27,GWRE,"Guidewire Software, Inc.",Rosenbaum Michael George  (CIK 0001784996),0001528396|0001784996,2026-04-27T22:54:57Z
2026-04-27,VICR,VICOR CORP,D'Amico Andrew  (CIK 0001830195),0000751978|0001830195,2026-04-27T22:54:57Z
2026-04-27,META,"Meta Platforms, Inc.",Olivan Javier  (CIK 0001564475),0001326801|0001564475,2026-04-27T22:54:57Z
2026-04-27,MXL,"MAXLINEAR, INC",Kwong Connie H.  (CIK 0001666994),0001288469|0001666994,2026-04-27T22:54:57Z
2026-04-27,,"Revolution Medicines, Inc.",Mancini Anthony  (CIK 0002124509),0001628171|0002124509,2026-04-27T22:54:57Z
2026-04-27,COCO,"Vita Coco Company, Inc.",Roper Martin  (CIK 0001206513),0001482981|0001206513,2026-04-27T22:54:57Z
2026-04-27,,ENTERPRISE FINANCIAL SERVICES CORP,PONDER MARK G  (CIK 0001550076),0001025835|0001550076,2026-04-27T22:54:57Z
2026-04-24,MSCI,MSCI Inc.,Munari Alvise J.  (CIK 0002101503),0001408198|0002101503,2026-04-27T22:54:57Z
2026-04-24,SYM,Symbotic Inc.,Dunn Michael David  (CIK 0001933434),0001837240|0001933434,2026-04-27T22:54:57Z
2026-04-24,ON,ON SEMICONDUCTOR CORP,Thad Trent  (CIK 0001607990),0001097864|0001607990,2026-04-27T22:54:57Z
2026-04-24,PEBK,PEOPLES BANCORP OF NORTH CAROLINA INC,ABERNETHY JAMES S  (CIK 0001244172),0001093672|0001244172,2026-04-27T22:54:57Z
2026-04-24,VMI,VALMONT INDUSTRIES INC,BAY MOGENS C  (CIK 0001185232),0000102729|0001185232,2026-04-27T22:54:57Z
2026-04-24,REAL,"TheRealReal, Inc.",Leondakis Niki  (CIK 0001780506),0001573221|0001780506,2026-04-27T22:54:57Z
2026-04-24,LQDT,LIQUIDITY SERVICES INC,Daunt John  (CIK 0001774667),0001235468|0001774667,2026-04-27T22:54:57Z
2026-04-24,TXN,TEXAS INSTRUMENTS INC,BLINN MARK A  (CIK 0001129149),0000097476|0001129149,2026-04-27T22:54:57Z
2026-04-24,,AGNC Investment Corp.,Federico Peter J  (CIK 0001464523),0001423689|0001464523,2026-04-27T22:54:57Z
2026-04-24,,"Everpure, Inc.",Colgrove John  (CIK 0001651902),0001474432|0001651902,2026-04-27T22:54:57Z
2026-04-24,UTHR,UNITED THERAPEUTICS Corp,PATUSKY CHRISTOPHER  (CIK 0001231427),0001082554|0001231427,2026-04-27T22:54:57Z
2026-04-24,TXN,TEXAS INSTRUMENTS INC,Witzsche Christine  (CIK 0001883939),0000097476|0001883939,2026-04-27T22:54:57Z
2026-04-24,VMI,VALMONT INDUSTRIES INC,MASSEY R ANDREW  (CIK 0001203394),0000102729|0001203394,2026-04-27T22:54:57Z
2026-04-24,VICR,VICOR CORP,VINCIARELLI PATRIZIO  (CIK 0000901484),0000751978|0000901484,2026-04-27T22:54:57Z
2026-04-24,ABNB,"Airbnb, Inc.",Blecharczyk Nathan  (CIK 0001834147),0001559720|0001834147,2026-04-27T22:54:57Z
2026-04-24,STC,STEWART INFORMATION SERVICES CORP,Hisey David C  (CIK 0001316682),0000094344|0001316682,2026-04-27T22:54:57Z
2026-04-24,,"BREAD FINANCIAL HOLDINGS, INC.",BALLOU ROGER H  (CIK 0001158369),0001101215|0001158369,2026-04-27T22:54:57Z
2026-04-24,,NORTHERN TRUST CORP,Bellows Clive  (CIK 0002027224),0000073124|0002027224,2026-04-27T22:54:57Z
2026-04-24,INDI,"indie Semiconductor, Inc.",Aoki Ichiro  (CIK 0001865423),0001841925|0001865423,2026-04-27T22:54:57Z
2026-04-24,ZIP,"ZIPRECRUITER, INC.",SAKAMOTO RYAN T.  (CIK 0001859442),0001617553|0001859442,2026-04-27T22:54:57Z
2026-04-24,VCX,"Fundrise Innovation Fund, LLC","Fundrise Real Estate Interval Fund, LLC  (CIK 0001777677)",0001867090|0001777677,2026-04-27T22:54:57Z
2026-04-24,PLBY,"Playboy, Inc.",Kohn Bernhard L III  (CIK 0001844121),0001803914|0001844121,2026-04-27T22:54:57Z
2026-04-24,EFX,EQUIFAX INC,Begor Mark W  (CIK 0001335111),0000033185|0001335111,2026-04-27T22:54:57Z
2026-04-24,TXN,TEXAS INSTRUMENTS INC,Leonard Shanon J  (CIK 0001920456),0000097476|0001920456,2026-04-27T22:54:57Z
2026-04-24,URI,"UNITED RENTALS, INC.",Limoges Andrew B.  (CIK 0001754488),0001067701|0001754488,2026-04-27T22:54:57Z
2026-04-24,AMZN,AMAZON COM INC,RUBINSTEIN JONATHAN  (CIK 0001209522),0001018724|0001209522,2026-04-27T22:54:57Z
2026-04-24,AIP,"Arteris, Inc.",Viana Antonio J  (CIK 0001888686),0001667011|0001888686,2026-04-27T22:54:57Z
2026-04-24,WABC,WESTAMERICA BANCORPORATION,Belton Curtis  (CIK 0001738156),0000311094|0001738156,2026-04-27T22:54:57Z
2026-04-24,NXT,Nextpower Inc.,Miller Nicholas Marco  (CIK 0001962163),0001852131|0001962163,2026-04-27T22:54:57Z
2026-04-24,NXT,Nextpower Inc.,Bennett David P  (CIK 0001582417),0001852131|0001582417,2026-04-27T22:54:57Z
2026-04-24,TXN,TEXAS INSTRUMENTS INC,PATSLEY PAMELA H  (CIK 0001182591),0000097476|0001182591,2026-04-27T22:54:57Z
2026-04-24,AIP,"Arteris, Inc.",Chitkara Raman  (CIK 0001748459),0001667011|0001748459,2026-04-27T22:54:57Z
2026-04-24,NXT,Nextpower Inc.,LEDESMA BRUCE  (CIK 0001209945),0001852131|0001209945,2026-04-27T22:54:57Z
2026-04-24,SYNA,SYNAPTICS Inc,Patel Rahul G.  (CIK 0001785783),0000817720|0001785783,2026-04-27T22:54:57Z
2026-04-24,W,Wayfair Inc.,Conine Steven  (CIK 0001620052),0001616707|0001620052,2026-04-27T22:54:57Z
2026-04-24,NXT,Nextpower Inc.,Wenger Howard  (CIK 0001387222),0001852131|0001387222,2026-04-27T22:54:57Z
2026-04-24,FAF,First American Financial Corp,McCarthy Margaret M  (CIK 0001485980),0001472787|0001485980,2026-04-27T22:54:57Z
2026-04-24,SYM,Symbotic Inc.,Ort Miriam  (CIK 0002002913),0001837240|0002002913,2026-04-27T22:54:57Z
2026-04-24,AMD,ADVANCED MICRO DEVICES INC,Papermaster Mark D  (CIK 0001449649),0000002488|0001449649,2026-04-27T22:54:57Z
2026-04-24,RMBS,RAMBUS INC,Rao Meera  (CIK 0001480603),0000917273|0001480603,2026-04-27T22:54:57Z
2026-04-24,NDAQ,"NASDAQ, INC.",Daly Michelle Lynn  (CIK 0001860776),0001120193|0001860776,2026-04-27T22:54:57Z
2026-04-24,MANH,MANHATTAN ASSOCIATES INC,Gantt James Stewart  (CIK 0001963767),0001056696|0001963767,2026-04-27T22:54:57Z
2026-04-24,NOW,"ServiceNow, Inc.",Canney Jacqueline P  (CIK 0001649609),0001373715|0001649609,2026-04-27T22:54:57Z
2026-04-24,TXN,TEXAS INSTRUMENTS INC,Bluedorn Todd M  (CIK 0001395277),0000097476|0001395277,2026-04-27T22:54:57Z
2026-04-24,W,Wayfair Inc.,Shah Niraj  (CIK 0001620093),0001616707|0001620093,2026-04-27T22:54:57Z
2026-04-24,DYN,"Dyne Therapeutics, Inc.","Atlas Venture Associates XI, L.P.  (CIK 0001780068)",0001818794|0001780068,2026-04-27T22:54:57Z
2026-04-24,DYN,"Dyne Therapeutics, Inc.","Atlas Venture Opportunity Fund II, L.P.  (CIK 0001885327)",0001818794|0001885327,2026-04-27T22:54:57Z
2026-04-24,SYM,Symbotic Inc.,Freve Maria G  (CIK 0001807561),0001837240|0001807561,2026-04-27T22:54:57Z
2026-04-24,,WAFD INC,Robison Kim E  (CIK 0001702713),0000936528|0001702713,2026-04-27T22:54:57Z
2026-04-24,,GLOBE LIFE INC.,Darden James Matthew  (CIK 0001624335),0000320335|0001624335,2026-04-27T22:54:57Z
2026-04-24,PNRG,PRIMEENERGY RESOURCES CORP,HURT CLINT  (CIK 0000947836),0000056868|0000947836,2026-04-27T22:54:57Z
2026-04-24,GSUI,Grayscale Sui Staking ETF,Salm Craig I  (CIK 0002021867),0002034012|0002021867,2026-04-27T22:54:57Z
2026-04-24,NXT,Nextpower Inc.,SHUGAR DANIEL S  (CIK 0001425477),0001852131|0001425477,2026-04-27T22:54:57Z
2026-04-24,DYN,"Dyne Therapeutics, Inc.","Atlas Venture Opportunity Fund I, L.P.  (CIK 0001759241)",0001818794|0001759241,2026-04-27T22:54:57Z
2026-04-24,URI,"UNITED RENTALS, INC.",Flannery Matthew John  (CIK 0001486607),0001067701|0001486607,2026-04-27T22:54:57Z
2026-04-24,SYM,Symbotic Inc.,Kuffner James  (CIK 0001877346),0001837240|0001877346,2026-04-27T22:54:57Z
2026-04-24,PLBY,"Playboy, Inc.",Riley Christopher  (CIK 0001449659),0001803914|0001449659,2026-04-27T22:54:57Z
